user_id,movie title,rating
1001,Aladdin (1992),1
1001,Braveheart (1995),5
1001,"Clockwork Orange, A (1971)",2
1001,Dances with Wolves (1990),3.5
1001,"English Patient, The (1996)",2
1001,Face/Off (1997),3.5
1001,Forrest Gump (1994),4
1001,"Game, The (1997)",3.5
1001,"Godfather, The (1972)",5
1001,Jurassic Park (1993),3.5
1001,Liar Liar (1997),2
1001,"Lion King, The (1994)",2.5
1001,Pulp Fiction (1994),4
1001,Reservoir Dogs (1992),4
1001,Return of the Jedi (1983),1
1001,"Rock, The (1996)",4
1001,Scream (1996),1
1001,Seven (Se7en) (1995),5
1001,"Silence of the Lambs, The (1991)",5
1001,Star Trek: First Contact (1996),1
1001,Star Trek: The Wrath of Khan (1982),1
1001,Star Wars (1977),1
1001,Terminator 2: Judgment Day (1991),3.5
1001,Titanic (1997),4
1001,Trainspotting (1996),3
1002,Aladdin (1992),10
1002,Braveheart (1995),8
1002,"Clockwork Orange, A (1971)",9
1002,Dances with Wolves (1990),4
1002,"English Patient, The (1996)",4
1002,Face/Off (1997),1
1002,Forrest Gump (1994),8
1002,"Game, The (1997)",9
1002,"Godfather, The (1972)",3
1002,Jurassic Park (1993),6
1002,Liar Liar (1997),1
1002,"Lion King, The (1994)",2
1002,Pulp Fiction (1994),2
1002,Reservoir Dogs (1992),8
1002,Return of the Jedi (1983),6
1002,"Rock, The (1996)",3
1002,Scream (1996),6
1002,Seven (Se7en) (1995),1
1002,"Silence of the Lambs, The (1991)",8
1002,Star Trek: First Contact (1996),2
1002,Star Trek: The Wrath of Khan (1982),3
1002,Star Wars (1977),7
1002,Terminator 2: Judgment Day (1991),3
1002,Titanic (1997),1
1002,Trainspotting (1996),4
1003,Aladdin (1992),9
1003,Braveheart (1995),4
1003,"Clockwork Orange, A (1971)",7
1003,Dances with Wolves (1990),5
1003,"English Patient, The (1996)",1
1003,Face/Off (1997),9
1003,Forrest Gump (1994),6
1003,"Game, The (1997)",6
1003,"Godfather, The (1972)",5
1003,Jurassic Park (1993),2
1003,Liar Liar (1997),10
1003,"Lion King, The (1994)",10
1003,Pulp Fiction (1994),5
1003,Reservoir Dogs (1992),7
1003,Return of the Jedi (1983),8
1003,"Rock, The (1996)",2
1003,Scream (1996),6
1003,Seven (Se7en) (1995),2
1003,"Silence of the Lambs, The (1991)",1
1003,Star Trek: First Contact (1996),1
1003,Star Trek: The Wrath of Khan (1982),8
1003,Star Wars (1977),2
1003,Terminator 2: Judgment Day (1991),2
1003,Titanic (1997),10
1003,Trainspotting (1996),6
1004,Aladdin (1992),6
1004,Braveheart (1995),2
1004,"Clockwork Orange, A (1971)",10
1004,Dances with Wolves (1990),7
1004,"English Patient, The (1996)",6
1004,Face/Off (1997),7
1004,Forrest Gump (1994),3
1004,"Game, The (1997)",3
1004,"Godfather, The (1972)",5
1004,Jurassic Park (1993),9
1004,Liar Liar (1997),1
1004,"Lion King, The (1994)",4
1004,Pulp Fiction (1994),4
1004,Reservoir Dogs (1992),3
1004,Return of the Jedi (1983),2
1004,"Rock, The (1996)",5
1004,Scream (1996),3
1004,Seven (Se7en) (1995),6
1004,"Silence of the Lambs, The (1991)",5
1004,Star Trek: First Contact (1996),7
1004,Star Trek: The Wrath of Khan (1982),8
1004,Star Wars (1977),9
1004,Terminator 2: Judgment Day (1991),3
1004,Titanic (1997),1
1004,Trainspotting (1996),1
1005,Aladdin (1992),1
1005,Braveheart (1995),2
1005,"Clockwork Orange, A (1971)",10
1005,Dances with Wolves (1990),7
1005,"English Patient, The (1996)",9
1005,Face/Off (1997),1
1005,Forrest Gump (1994),5
1005,"Game, The (1997)",2
1005,"Godfather, The (1972)",8
1005,Jurassic Park (1993),5
1005,Liar Liar (1997),6
1005,"Lion King, The (1994)",4
1005,Pulp Fiction (1994),3
1005,Reservoir Dogs (1992),6
1005,Return of the Jedi (1983),8
1005,"Rock, The (1996)",4
1005,Scream (1996),3
1005,Seven (Se7en) (1995),9
1005,"Silence of the Lambs, The (1991)",6
1005,Star Trek: First Contact (1996),2
1005,Star Trek: The Wrath of Khan (1982),10
1005,Star Wars (1977),8
1005,Terminator 2: Judgment Day (1991),3
1005,Titanic (1997),2
1005,Trainspotting (1996),2
1006,Aladdin (1992),1
1006,Braveheart (1995),4
1006,"Clockwork Orange, A (1971)",3
1006,Dances with Wolves (1990),6
1006,"English Patient, The (1996)",5
1006,Face/Off (1997),5
